guideline,item_number,item_text_abbreviated,where_addressed,evidence_file,status
STROBE,12,Statistical methods: (a) all methods including those to control confounding; (b) subgroups and interactions; (c) missing data; (d) loss to follow-up / sampling strategy; (e) sensitivity analyses,"(a) Métodos, 'Métodos estatísticos': exact Poisson (Garwood) and Clopper-Pearson intervals; hierarchical binomial with BYM2 spatial effect and RW1 trend fitted by INLA; a region fixed-effects specification fitted alongside. (b) The modifier examined is the hospitalised stratum (model E), which discriminates the two accounts. (c) Missingness is handled by valid-state denominators, by restriction to complete region-years (model D) and by an adversarial bound, never by imputation. (d) No follow-up and no sampling: a census of notifications. (e) Sensitivity: exclusion thresholds, severity definitions, laboratory-only case definition, socioeconomic covariates.",data/results/primary_model/model_estimates.csv; data/results/primary_model/primary_model_report.json; data/results/data_quality_record/cfr_adversarial_gradient_bounds.csv; data/results/exclusion_sensitivity/gradient_summary_by_threshold.csv,satisfied
STROBE,13,Participants: numbers at each stage; reasons for non-participation; consider a flow diagram,"study_flow.csv is the canonical cascade and reconciles to the last record (328,984 -> 66,358). The manuscript reads it at compile time, so the in-text numbers cannot drift from it. NOT YET: the cascade is reported as prose, not as a flow figure; STROBE says 'consider', and RECORD 13.1 accepts text or diagram, so this is a presentational gap rather than a missing analysis.",data/results/analysis_panel/study_flow.csv,partial
STROBE,14,Descriptive data: characteristics of participants and information on exposures and potential confounders; number with missing data for each variable,"Table 1 gives, by macro-region, confirmed cases, incidence, case fatality, H, outcome completeness and laboratory-confirmed share. Completeness travels beside the estimate it conditions rather than sitting in a separate appendix. Per-variable missingness for all 36 analytic variables is in the data-quality record (S2).",data/results/descriptives/table1_by_region.csv; data/results/descriptives/national_by_year.csv; data/results/data_quality_record/completeness_overall.csv,satisfied
STROBE,15,Outcome data: report numbers of outcome events or summary measures,"Deaths, the known-outcome denominator, cases and person-years are carried per region-year in the panel and summed in the descriptive tables (national: 5,951 deaths over 61,023 known outcomes, 9.75%). Numerators and denominators are summed before any ratio is formed.",data/results/descriptives/descriptives_report.json; data/results/analysis_panel/region_year_panel.parquet; data/results/exclusion_sensitivity/exclusion_by_threshold.csv,satisfied
STROBE,16,Main results: unadjusted and confounder-adjusted estimates with precision; which confounders were adjusted for and why; category boundaries; translate relative risk into absolute risk where meaningful,"Table 2 is the model sequence: A (space-time only), B (+H), C (+case mix), D (complete outcomes), with the odds ratio per +10 pp of H, its 95% credible interval, the scale and the number of cells, from model_estimates.csv (85 rows). The absolute-risk translation is the case-fatality level of each H stratum (2.7% to 16.9%) reported alongside the relative estimate; the H cut points are in H_quintile_assignment.csv.",data/results/primary_model/model_estimates.csv; data/results/primary_model/primary_model_report.json; data/results/triangulation/three_systems_by_stratum.csv; data/results/case_mix/H_quintile_assignment.csv,satisfied
STROBE,17,"Other analyses: subgroups and interactions, sensitivity analyses","Threat check E (within the hospitalised stratum only), threat check F (regions with at least 10 known hospitalisation fields), the region fixed-effects estimate, the first-difference and lag-lead checks, the RS-2024 within-territory perturbation, the three-system triangulation, the exclusion-threshold sweep, the severity-definition sweep and the socioeconomic checks. Each is tied to a named threat rather than run as an undirected robustness sprawl.",data/results/primary_model/primary_model_report.json; data/results/within_region/threat_ledger_checks.csv; data/results/rs2024_event/rs2024_event_report.json; data/results/triangulation/three_systems_by_stratum.csv; data/results/socioeconomic_confounders/socioeconomic_confounders_report.json,satisfied
STROBE,18,Key results: summarise key results with reference to study objectives,Discussão opens on the three-system contrast that answers the objective: reported case fatality moves 6.3-fold and notified incidence 5.3-fold across H while population mortality from A27 stays between 1.7 and 2.5 per million person-years without monotone order.,paper/artigo.qmd; data/results/triangulation/triangulation_report.json,satisfied
STROBE,19,"Limitations: discuss limitations, sources of potential bias or imprecision; discuss both direction and magnitude of any potential bias","Discussão, 'Limitações' gives direction and magnitude, not a list of regrets: roughly a third of the crude gradient is attributable to the shared denominator; the within-region estimate recovers about 56% of the pooled log odds ratio and 96% of the spatially adjusted one; outcome completeness varies with the exposure in the direction that would inflate the gradient, and the result survives the adversarial extreme; H also reflects admission thresholds and bed supply, so it is not a pure index of case-finding effort.",paper/artigo.qmd; data/results/coupling/coupling_report.json; data/results/data_quality_record/cfr_adversarial_gradient_bounds.csv; data/results/within_region/within_region_report.json,satisfied
STROBE,20,"Interpretation: cautious overall interpretation considering objectives, limitations, multiplicity, results from similar studies and other relevant evidence","Discussão places the finding against the Salvador community cohorts and against the earlier national study that used SINAN alone, and states what the estimate does not license: H is offered as an indicator of comparability, explicitly not as a measure of surveillance performance. The RS-2024 episode is labelled supportive within-territory validation, not a natural experiment.",paper/artigo.qmd; data/results/rs2024_event/rs2024_event_report.json,satisfied
STROBE,21,Generalisability: discuss the generalisability (external validity) of the study results,"The material for this item exists and is partly used: the primary model covers every health region with a confirmed case, and the person-time cost of the 30-case rule on the descriptive tables is quantified (retained regions hold 76.8% of national person-time against 96.4% of cases, so a case-share statement alone would overstate territorial coverage). NOT YET: no explicit external-validity paragraph in the Discussão; the person-time-versus-case-mass asymmetry is not stated as a generalisability caveat.",data/results/exclusion_sensitivity/exclusion_sensitivity_report.json; data/results/exclusion_sensitivity/exclusion_by_threshold.csv; data/results/exclusion_sensitivity/excluded_macroregion_composition.csv,partial
STROBE,22,Funding: give the source of funding and the role of the funders; and for the original study on which the article is based,"NOT YET: the manuscript has an 'Aspectos éticos' statement (secondary, aggregated, public, unidentified data; CEP/CONEP waiver under Resolução CNS 510/2016) and a generative-AI declaration, but no funding statement and no conflict-of-interest statement. Author action; no result file can supply this.",paper/artigo.qmd,not_yet
RECORD,1.1,"The type of data used should be specified in the title or abstract; where possible, name the databases","The abstract names SINAN ('Sistema de Informação de Agravos de Notificação') and the three systems compared (notification, hospital admission, population mortality by ICD-10 A27); the title names the design. NOT YET: the title itself does not name the databases, and SIM and SIH are named in the abstract by function rather than by acronym.",paper/artigo.qmd,partial
RECORD,1.2,"If applicable, the geographic region and timeframe should be reported in the title or abstract","Title: 'Brasil, 2007-2025'. Abstract repeats the window and states the unit of analysis (região de saúde por ano) and the restricted 2008-2024 window used for the three-system comparison.",paper/artigo.qmd; data/results/analysis_panel/panel_report.json,satisfied
RECORD,1.3,"If linkage between databases was conducted, state it clearly in the title or abstract","No linkage was conducted and none is claimed. SINAN, SIM and SIH are compared as three independent aggregate series, aligned on municipality of residence and calendar year -- never on a person. The abstract says the three systems are compared; it does not use the word linkage, which is correct. Independence of the denominators is the whole point of the triangulation, and it would be destroyed by linkage.",data/results/triangulation/triangulation_report.json; data/results/triangulation/region_three_systems.parquet,satisfied
RECORD,6.1,"Methods of study-population selection (codes and algorithms used to identify subjects) listed in detail, or an explanation of why not","The selection algorithm is four rules, each with its own denominator and each counted in the cascade: CLASSI_FIN = confirmado; SEM_PRI yielding a valid onset year inside 2007-2025; a non-null ID_MN_RESI resolving on the 2022 municipal lattice. Codes, accepted values and the four decode states (valid / unknown / missing / invalid, never pooled) are one row per variable in the field dictionary; the record-count consequence of each rule is a row in study_flow.csv.",data/results/data_quality_record/field_dictionary.csv; data/results/analysis_panel/study_flow.csv; docs/CODEBOOK.md,satisfied
RECORD,6.2,"Reference any validation studies of the codes or algorithms used to select the population; if validation was done for this study, give methods and results","No chart-review validation of SINAN case status exists for this study and none is claimed -- stating that is the requirement, not performing one. What was done instead is external comparison against two systems with different failure modes (SIM underlying-cause A27; SIH principal-diagnosis A27) and an internal construct check that repeats every quantity inside the laboratory-confirmed stratum, where confirmation-criterion drift cannot operate.",data/results/triangulation/triangulation_report.json; data/results/construct_validity/cfr_by_quintile_by_criterion.csv; data/results/construct_validity/lab_share_by_quintile.csv,partial
RECORD,6.3,"If the study involved linkage, consider a flow diagram or other graphical display of the linkage process, with numbers at each stage","Not applicable, with a reason: no record linkage was performed, so there is no linkage cascade to display. The selection cascade that does exist is study_flow.csv and is covered by 13.1. The three systems are joined at health-region x year on their own aggregates, and the region-level join is auditable in region_three_systems.parquet.",data/results/triangulation/region_three_systems.parquet; data/results/analysis_panel/study_flow.csv,satisfied
RECORD,6.4,Linkage quality evaluated and reported (the published RECORD statement carries this requirement at 12.3; retained here at 6.4 to match the numbering used by this study's earlier checklist),"Not applicable, with a reason: no linkage, therefore no linkage quality to evaluate. The nearest analogue that IS evaluated is the geographic join -- every one of the 5,570 municipalities on the 2022 lattice must map to a health region or the build raises, and the 6-digit to 7-digit municipal code conversion uses the check-digit codec rather than string concatenation. This row and 12.3 point at the same evidence and neither is padding.",data/results/atlas/atlas_manifest.json; data/results/audit_denominators_geo/06_geography.json; docs/ADR-001-versioned-geographies.md,satisfied
RECORD,7.1,"A complete list of codes and algorithms used to classify exposures, outcomes, confounders and effect modifiers, or an explanation of why it cannot be given","field_dictionary.csv: 36 rows covering every analytic variable, each with source system, raw field, accepted values, transformation, missing-data rule, aggregation rule and the scripts that consume it. It records the awkward cases rather than hiding them -- CLI_HEMOPU excluded from the severe phenotype because it is in practice the same field as CLI_HEMORR (they disagree in 13 of 61,219 records), the conjunctive severity denominator, and the one asymmetry in the panel (share_male computed on all cases rather than on the valid-state denominator).",data/results/data_quality_record/field_dictionary.csv; docs/CODEBOOK.md,satisfied
RECORD,12.1,Describe the extent to which the investigators had access to the database population used to create the study population,"Full access: the source files are the complete national annual SINAN-LEPT, SIM-DO and SIH-RD public microdata releases, downloaded in full, with no data-provider filter applied before the study's own selection rules. The denominator population is the complete municipality x sex x single-year-of-age tensor. NOT YET: this is stated in the pipeline (extraction scripts and the acquisition record) but not written into the manuscript as an access statement.",data/results/00_data_quality/reconciliation.csv; data/results/audit_sim_sih/reach_summary.json; data/results/audit_denominators_geo/00_summary.json,partial
RECORD,12.2,Provide information on the data cleaning methods used,"Cleaning is decoding, and it is specified rather than performed ad hoc: every coded field carries one of four states (valid / unknown / missing / invalid) which are never pooled; a blank is never read as a negative answer; a value outside the registry is invalid rather than coerced; packed ages are converted by unit rather than floored; 6-digit municipal codes are widened by check-digit codec. Undocumented codes and schema drift across the 19 annual files are logged.",data/results/data_quality_record/field_dictionary.csv; data/results/00_data_quality/quality_undocumented_codes.csv; data/results/00_data_quality/schema_drift.csv; docs/CODEBOOK.md,satisfied
RECORD,12.3,"State whether the study included person-level, institutional-level or other data linkage across two or more databases; give the methods of linkage and of linkage-quality evaluation","Stated explicitly: no person-level and no institutional-level linkage. All aggregation is ecological, at health region x year. The three systems meet only as aggregates sharing a geography and a calendar year, and the SIH figure is admissions rather than people (an AIH is a billing record; a transferred patient generates more than one), which is recorded in the dictionary so the count is not misread as a person count.",data/results/data_quality_record/field_dictionary.csv; data/results/triangulation/triangulation_report.json,satisfied
RECORD,13.1,"Describe in detail the selection of persons included, including filtering on data quality, data availability and linkage; text and/or flow diagram","study_flow.csv carries every step with counts and percentages and reconciles to the last record. Data-availability filtering is reported separately from eligibility filtering: 155 confirmed records excluded for an invalid onset date, 105 for an onset year outside the window, 49 for a missing residence municipality. Quality-based restriction is never silent -- the minimum-case rule is swept at 0/10/20/30/50 and the completeness restriction is a separate model, not a hidden default.",data/results/analysis_panel/study_flow.csv; data/results/exclusion_sensitivity/exclusion_by_threshold.csv; data/results/data_quality_record/cfr_gradient_by_completeness_restriction.csv,satisfied
RECORD,19.1,"Discuss the implications of using data not created to answer the research question: misclassification, unmeasured confounding, missing data, and changing eligibility over time","All four are addressed with evidence rather than acknowledgement. Misclassification: the confirmation-criterion mix and the severity coding are attacked directly in 65. Unmeasured confounding: the region fixed-effects specification removes every time-invariant regional characteristic by construction, and socioeconomic covariates are checked in 53. Missing data: differential completeness is bounded adversarially. Changing eligibility over time: the series starts in 2007 because the SINAN NET layout replaced SINAN Windows, and completeness by year is reported per field. The manuscript's 'Limitações' now carries the substance of this item.",data/results/construct_validity/construct_validity_report.json; data/results/within_region/within_region_report.json; data/results/data_quality_record/completeness_by_year.csv; data/results/socioeconomic_confounders/socioeconomic_confounders_report.json,satisfied
RECORD,22.1,"Provide information on how to access supplemental information such as the study protocol, raw data or programming code","Manuscript, 'Disponibilidade de dados': the sources are public DATASUS and IBGE releases, and the extraction, processing and analysis code, the variable dictionary, this STROBE/RECORD checklist, the derived region-year panel and the result files behind every number are published as a reproducibility package at https://github.com/LeviMelo/leptospirose-brasil-2007-2025, cited in that section of the manuscript.",paper/artigo.qmd; data/results/reporting/reproducibility_manifest.json; data/results/reporting/supplementary_inventory.csv,satisfied
