subset,severity_definition,q,H,person_years,denominator_cases,severe_cases,nonsevere_cases,share_severe,share_severe_lo,share_severe_hi,severe_per_100k,severe_lo,severe_hi,nonsevere_per_100k,nonsevere_lo,nonsevere_hi
all confirmed cases,jaundice alone,3,0.7441766418634747,529824435.0,12327,5727,6600,0.464589924555853,0.45575424338867554,0.47344233334335917,1.0809240989423223,1.053108342706536,1.109288571146082,1.2456956614316967,1.215821809433992,1.2761180626280757
all confirmed cases,jaundice alone,4,0.8445305415876679,726671047.0,11750,7205,4545,0.6131914893617021,0.6043158407479763,0.6220110245800698,0.9915077846771566,0.9687441110373016,1.0146713410314667,0.6254549453653958,0.6074021483477096,0.6439080351450436
all confirmed cases,jaundice alone,5,0.9139496329043972,1087508741.0,12381,8832,3549,0.7133511024957596,0.7052960027927646,0.7213057942942345,0.8121314033649685,0.795281338020872,0.8292485670650979,0.3263422045450943,0.31569292342784755,0.3372591356234735
all confirmed cases,renal failure alone,1,0.41915085817524844,236920404.0,12119,1154,10965,0.09522237808400033,0.09005295935411839,0.10058713170299052,0.487083417264475,0.4593825741551837,0.5160180214730836,4.628136629380389,4.54191076097028,4.715588079012787
all confirmed cases,renal failure alone,2,0.6706794861436536,376629531.0,12066,2321,9745,0.19235869385048898,0.18535924723921993,0.19950686281732605,0.6162554470536195,0.5914368893026161,0.6418478653031062,2.5874232363367176,2.536303394850084,2.639314185426237
all confirmed cases,renal failure alone,3,0.7441766418634747,529824435.0,12075,2564,9511,0.21233954451345755,0.20507374541245083,0.21974426385606632,0.4839338902895258,0.46538168305618105,0.5030360164822745,1.7951229448298285,1.7592251447917806,1.8315689151266248
all confirmed cases,renal failure alone,4,0.8445305415876679,726671047.0,11124,3205,7919,0.28811578568860124,0.27971116784377814,0.2966314269818795,0.4410523872158622,0.4259136635018625,0.45659178366914344,1.0897640731239977,1.065892791174411,1.114035164711258
all confirmed cases,renal failure alone,5,0.9139496329043972,1087508741.0,11755,4608,7147,0.39200340280731605,0.3831631635204809,0.40089715652043006,0.42372073219041834,0.4115739704339803,0.43613495959604487,0.6571901200010677,0.6420411803069968,0.6726062647660883
all confirmed cases,jaundice AND renal (Weil-like),1,0.41915085817524844,236920404.0,12052,739,11313,0.06131762363093263,0.057099268937961814,0.06574934716356633,0.31191910343019674,0.28983262965984824,0.3352423482298914,4.77502140339082,4.687431616494367,4.863836710443853
all confirmed cases,jaundice AND renal (Weil-like),2,0.6706794861436536,376629531.0,12011,1700,10311,0.14153692448588795,0.13534889054955748,0.14789922169885536,0.4513719345071749,0.4301680469561483,0.47335058646613554,2.7377035392373417,2.6851128761017105,2.791065236818792
all confirmed cases,jaundice AND renal (Weil-like),3,0.7441766418634747,529824435.0,12017,1904,10113,0.15844220687359573,0.15195519480120376,0.16509511493433307,0.35936432414635616,0.3434021170111073,0.3758770327206719,1.90874548849375,1.871723449079415,1.9463156410150968
all confirmed cases,jaundice AND renal (Weil-like),4,0.8445305415876679,726671047.0,11025,2586,8439,0.2345578231292517,0.22667403848264076,0.24258201565406176,0.3558694144587269,0.3422843116869136,0.369855458344112,1.1613232747939661,1.1366764728899401,1.186369839051643
all confirmed cases,jaundice AND renal (Weil-like),5,0.9139496329043972,1087508741.0,11671,3950,7721,0.33844572016108304,0.32985942321623674,0.34711266457358986,0.36321547138718585,0.35197584175781066,0.3747226725115693,0.7099713049570789,0.694222336606518,0.7259874381248171
all confirmed cases,score >= 2 of 3,1,0.41915085817524844,236920404.0,11969,879,11090,0.07343971927479322,0.06882882773785245,0.07825931993958245,0.37101067918151953,0.346886117529586,0.39637076077137173,4.680896964872641,4.594178725668948,4.76884076303384
all confirmed cases,score >= 2 of 3,2,0.6706794861436536,376629531.0,11866,1898,9968,0.1599528063374347,0.15339923658475127,0.16667364333580614,0.5039434892321283,0.48152442694982406,0.5271369800003612,2.6466326136279528,2.5949283078153758,2.6991079974775865
all confirmed cases,score >= 2 of 3,3,0.7441766418634747,529824435.0,11854,2150,9704,0.1813733760755863,0.17447348924403985,0.1884300889846286,0.40579479879971936,0.3888214476654631,0.4233184031091375,1.8315501058383614,1.7952880993483775,1.8683602636867458
all confirmed cases,score >= 2 of 3,4,0.8445305415876679,726671047.0,10685,2986,7699,0.27945718296677585,0.2709629972537992,0.2880717013755472,0.41091495420485635,0.39630716267235555,0.4259235038442821,1.0594890262636265,1.035953498021081,1.0834243855746373
all confirmed cases,score >= 2 of 3,5,0.9139496329043972,1087508741.0,11205,4090,7115,0.36501561802766624,0.3560928834400861,0.3740085399178921,0.3760889311325545,0.36465031383153645,0.38779509528717093,0.6542476149164119,0.6391328232532003,0.6696296140368425
clinical block fully decoded,jaundice OR renal OR haemorrhage (primary),1,0.41915085817524844,236920404.0,11357,3689,7668,0.3248216958703883,0.3162105977442775,0.3335226743003403,1.5570630210473557,1.5072181632264963,1.60813630960253,3.2365300204367373,3.164489248466045,3.3097971448206707
clinical block fully decoded,jaundice OR renal OR haemorrhage (primary),2,0.6706794861436536,376629531.0,10925,5115,5810,0.46819221967963387,0.4587991912368086,0.4776022083679665,1.358098497061294,1.321132312512041,1.3958367881334608,1.5426299644039332,1.5032157328694553,1.5828160787983223
clinical block fully decoded,jaundice OR renal OR haemorrhage (primary),3,0.7441766418634747,529824435.0,10824,5537,5287,0.5115484109386549,0.5020832665282859,0.5210073400478894,1.04506316323444,1.017715713871569,1.0729593699884858,0.9978777215135426,0.9711588848609407,1.0251453734229594
clinical block fully decoded,jaundice OR renal OR haemorrhage (primary),4,0.8445305415876679,726671047.0,9439,6151,3288,0.6516580146201928,0.6419477407940992,0.6612746178167734,0.8464627874461056,0.8254398869763898,0.8678857009174232,0.45247433671318404,0.4371391543873947,0.4682101616717505
clinical block fully decoded,jaundice OR renal OR haemorrhage (primary),5,0.9139496329043972,1087508741.0,9506,7180,2326,0.7553124342520513,0.7465403113529328,0.7639278584200981,0.6602245783696188,0.6450405034938969,0.6756758558721585,0.21388333834090995,0.20527874785672573,0.22275593268676855
clinical block fully decoded,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,1,0.41915085817524844,236920404.0,11357,3690,7667,0.3249097472924188,0.3162980211077199,0.3336113085613105,1.5574851037312938,1.5076334359895627,1.6085652012888274,3.236107937752799,3.164071889605613,3.3093703386202677
clinical block fully decoded,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,2,0.6706794861436536,376629531.0,10925,5115,5810,0.46819221967963387,0.4587991912368086,0.4776022083679665,1.358098497061294,1.321132312512041,1.3958367881334608,1.5426299644039332,1.5032157328694553,1.5828160787983223
clinical block fully decoded,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,3,0.7441766418634747,529824435.0,10824,5537,5287,0.5115484109386549,0.5020832665282859,0.5210073400478894,1.04506316323444,1.017715713871569,1.0729593699884858,0.9978777215135426,0.9711588848609407,1.0251453734229594
clinical block fully decoded,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,4,0.8445305415876679,726671047.0,9439,6151,3288,0.6516580146201928,0.6419477407940992,0.6612746178167734,0.8464627874461056,0.8254398869763898,0.8678857009174232,0.45247433671318404,0.4371391543873947,0.4682101616717505
clinical block fully decoded,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,5,0.9139496329043972,1087508741.0,9506,7180,2326,0.7553124342520513,0.7465403113529328,0.7639278584200981,0.6602245783696188,0.6450405034938969,0.6756758558721585,0.21388333834090995,0.20527874785672573,0.22275593268676855
clinical block fully decoded,jaundice alone,1,0.41915085817524844,236920404.0,11357,3212,8145,0.2828211675618561,0.2745506878741766,0.29120310687204154,1.35572958080892,1.3092456860552608,1.4034423920945536,3.437863460675173,3.363603490642552,3.5133496431662703
clinical block fully decoded,jaundice alone,2,0.6706794861436536,376629531.0,10925,4455,6470,0.4077803203661327,0.39854522876152615,0.41706458933654206,1.1828599813114495,1.1483779206031437,1.2181144076576147,1.7178684801537776,1.6762618141998993,1.7602468508237774
clinical block fully decoded,jaundice alone,3,0.7441766418634747,529824435.0,10824,4796,6028,0.44308943089430897,0.4337013972278613,0.4525080948006195,0.9052055139736996,0.8797661294569294,0.9311938402777827,1.137735370774283,1.1091933441976787,1.1668260517448032
clinical block fully decoded,jaundice alone,4,0.8445305415876679,726671047.0,9439,5421,4018,0.5743193134865981,0.5642698856139159,0.5843228505581923,0.7460046774094193,0.7262766785494996,0.7661328009723508,0.5529324467498703,0.5359663445563558,0.5702989682942952
clinical block fully decoded,jaundice alone,5,0.9139496329043972,1087508741.0,9506,6533,2973,0.6872501577950768,0.6778214595770086,0.6965639972164179,0.6007308036892367,0.5862510404079183,0.6154778208384559,0.27337711302129203,0.2636376795129534,0.28338433583399836
clinical block fully decoded,renal failure alone,1,0.41915085817524844,236920404.0,11357,969,10388,0.08532182794752136,0.0802467373622373,0.09061064331353375,0.4089981207359414,0.38364840360037816,0.4355827005431183,4.384594920748151,4.300679095980073,4.469736434664578
clinical block fully decoded,renal failure alone,2,0.6706794861436536,376629531.0,10925,1939,8986,0.1774828375286041,0.17035919152621307,0.18477879032974612,0.5148295182408307,0.49216688114658064,0.5382665207586235,2.385898943224396,2.3368202438708066,2.435748858921664
clinical block fully decoded,renal failure alone,3,0.7441766418634747,529824435.0,10824,2102,8722,0.1941980783444198,0.1867825850869414,0.20177843166068715,0.39673519398930707,0.3799544047042724,0.4140662814545465,1.6462056907586755,1.611836705676144,1.6811229297775794
clinical block fully decoded,renal failure alone,4,0.8445305415876679,726671047.0,9439,2376,7063,0.25172158067591904,0.2429908597793846,0.2606057573771504,0.3269705060920089,0.3139541234157216,0.34038794393269195,0.9719666180672807,0.9494296763645668,0.994903458322601
clinical block fully decoded,renal failure alone,5,0.9139496329043972,1087508741.0,9506,3352,6154,0.35261939827477384,0.34300850501571206,0.3623206746294747,0.30822740761768275,0.2978803760748037,0.3188421327228271,0.565880509092846,0.5518296047712529,0.5801987009793393
clinical block fully decoded,jaundice AND renal (Weil-like),1,0.41915085817524844,236920404.0,11357,628,10729,0.05529629303513252,0.05116319054181398,0.0596591620091647,0.26506792551307656,0.2447393039233552,0.28663459348359827,4.528525115971016,4.443236556426006,4.61503929982917
clinical block fully decoded,jaundice AND renal (Weil-like),2,0.6706794861436536,376629531.0,10925,1422,9503,0.13016018306636157,0.12390406455805947,0.13661411414917135,0.3775593475701193,0.35818820823485714,0.39770583632209716,2.523169113895108,2.4726911523344737,2.5744182163126546
clinical block fully decoded,jaundice AND renal (Weil-like),3,0.7441766418634747,529824435.0,10824,1559,9265,0.1440317812269032,0.13746725197133597,0.15078841235170107,0.29424841457151746,0.27982173091197604,0.30922604215967314,1.7486924701764652,1.7132642916946281,1.784668843857707
clinical block fully decoded,jaundice AND renal (Weil-like),4,0.8445305415876679,726671047.0,9439,1902,7537,0.20150439665218772,0.19345233308452325,0.20974107383664028,0.2617415414928455,0.2501094910787074,0.27377497061580297,1.037195582666444,1.0139103688403697,1.0608806439374936
clinical block fully decoded,jaundice AND renal (Weil-like),5,0.9139496329043972,1087508741.0,9506,2866,6640,0.3014937933936461,0.2922780024230539,0.31083135681966023,0.2635381116444746,0.25397714022356016,0.27336690277543896,0.6105698050660542,0.59597123230921,0.6254356227030115
clinical block fully decoded,score >= 2 of 3,1,0.41915085817524844,236920404.0,11357,785,10572,0.06912036629391564,0.06452208784539971,0.0739409701415296,0.33133490689134565,0.30855899705209694,0.3553471400644735,4.462258134592747,4.377598844695033,4.548143078265035
clinical block fully decoded,score >= 2 of 3,2,0.6706794861436536,376629531.0,10925,1675,9250,0.15331807780320367,0.14660928462394685,0.16021218139062574,0.4447341119408929,0.423688584924424,0.4665544499548551,2.4559943495243344,2.406196245287266,2.506563630768573
clinical block fully decoded,score >= 2 of 3,3,0.7441766418634747,529824435.0,10824,1853,8971,0.17119364375461937,0.16414041989941622,0.17842420159386208,0.34973849403529306,0.33399394789020626,0.3660335991703606,1.6932023907126894,1.658343722952002,1.7286092848139734
clinical block fully decoded,score >= 2 of 3,4,0.8445305415876679,726671047.0,9439,2455,6984,0.26009111134654095,0.25126337205593374,0.2690671208856521,0.3378420001918695,0.3246088302110205,0.3514761807213668,0.96109512396742,0.9386853092145333,0.9839048462924151
clinical block fully decoded,score >= 2 of 3,5,0.9139496329043972,1087508741.0,9506,3281,6225,0.3451504313065432,0.3355894231380588,0.35480640640522587,0.30169872446110296,0.29146279475443865,0.31220236439711385,0.5724091922494258,0.5582769629818247,0.5868087025360491
