variable,source_system,raw_field,accepted_values,transformation,missing_data_rule,aggregation_rule,used_in
ant_cb_* (14 exposure antecedents),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)","ANT_CB_LAM, ANT_CB_CRI, ANT_CB_CAI, ANT_CB_FOS, ANT_CB_SIN, ANT_CB_PLA, ANT_CB_COR, ANT_CB_ROE, ANT_CB_GRA, ANT_CB_TER, ANT_CB_LIX, ANT_CB_OUT, ANT_HUMANO, ANT_ANIMAI","1=sim; 2=nao; 9=ignorado (-> unknown), each","enum lookup, concept sinan_sim_nao_ign (one concept bound to all 14)","each antecedent computed on its own valid denominator; 81-90% recorded on confirmed cases. decoded value carries a companion <field>_state in {valid, missing, unknown, invalid}; blank -> missing, explicit 'ignorado' code -> unknown, code absent from the registry -> invalid. The four are never pooled.","share reporting each route, per stratum",52_exposure_routes.py
serovar / serogroup / reservoir,"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)","MICRO1_S1 (and MICRO1_S_2, MICRO2_S1, MICRO2_S_2)","MAT serovar code 1-28, written either bare ('10') or self-labelled ('10 - COPENHAGENI') in the same column; serogroup and maintenance host attached as concept attributes. Serovar 21 (Patoc) is L. biflexa, saprophytic, and is never attributed to a reservoir.","labelled_code transform: take the leading integer, then an ordinary enum; attributes emit serogroup and reservoir in the same pass","MAT typing reaches 9,003 of 66,358 confirmed cases (13.5%); absence of a MAT result is not absence of infection",modal serogroup per municipality with its own count and share (atlas),descriptive reservoir table (not in the exposure-outcome chain)
occupation_major_group,"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",ID_OCUPA_N,"CBO 2002 six-digit code; first digit = major group 0-9. SINAN sentinels 000000, 998999, 999991-999995, 999999 -> unknown.","prefix_group transform (pad 6, width 1): decode only what the code structurally guarantees","sentinels mapped to unknown, NOT to major group 9; 22,942 of 66,358 confirmed cases (34.4%) carry a usable code",counts by major group,descriptive occupational exposure (not in the exposure-outcome chain)
notification and digitisation dates,"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)","DT_SIN_PRI, DT_NOTIFIC, DT_DIGITA, ATE_DT_INT",dates; retained as raw text and parsed per use (%Y-%m-%d in the decoded frame),"date parse at point of use, strict=False so an unparseable date is null rather than an exception",delay statistics computed only on record pairs where both dates parse; the pair count is reported,"median and quantiles of the day difference, per stratum",notification-delay diagnostics; care-seeking delay by band (54_sih_severity_depth.py)
src_year (file vintage),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",file of origin,2007-2025,literal added per annual file in 21_build_line_level.py,never null by construction,NOT the study's time key. 60_analysis_panel.py keys on onset year; 41_completeness_stratification.py keys on src_year. The two are different attributions of the same case and their totals differ.,schema-drift audit; the older completeness script's time key
sim_a27_deaths,"SIM-DO (Sistema de Informacoes sobre Mortalidade, declaration files)","CAUSABAS, CODMUNRES, DTOBITO",CAUSABAS with ICD-10 prefix A27 (anchored); CODMUNRES 6-digit; DTOBITO ddmmyyyy,prefix match on CAUSABAS; year taken as characters 5-8 of DTOBITO; municipality joined on the 6-digit form,"Underlying cause only for the primary count. The multiple-cause chain (LINHAA-LINHAD, LINHAII, CAUSABAS_O) is scanned separately in 47_audit_sim_sih.py; the two definitions give different totals and are not interchangeable.","deaths summed per health region; mortality rate = deaths / person-years, exact Poisson interval",62_triangulation.py: population mortality against reported case fatality
sih_a27_admissions,"SIH-RD (Sistema de Informacoes Hospitalares, reduced AIH files)","DIAG_PRINC, MUNIC_RES, DT_INTER",DIAG_PRINC starting 'A27'; MUNIC_RES 6-digit; DT_INTER yyyy-mm-dd,prefix match on DIAG_PRINC; admission year from DT_INTER; municipality joined on the 6-digit form,"Admissions, not people: an AIH is a billing record and a patient transferred between hospitals generates more than one. Window restricted to 2008-2024, the years all three systems cover completely.","admissions summed per health region; admission rate = admissions / person-years, exact Poisson interval",62_triangulation.py
sih severity and cost fields,"SIH-RD (Sistema de Informacoes Hospitalares, reduced AIH files)","DIAS_PERM, UTI_MES_TO, MORTE, VAL_TOT, CNES, MUNIC_MOV, IDADE, COD_IDADE","DIAS_PERM/UTI_MES_TO/VAL_TOT numeric; MORTE=='1' is in-hospital death; COD_IDADE 4=years, 3=months, 2=days, 1=hours","cast to float, strict=False; referred = (MUNIC_RES != MUNIC_MOV); age converted from IDADE by COD_IDADE","a value that will not cast is null, not zero; length-of-stay statistics restricted to survivors where stated","median length of stay, ICU share, in-hospital case fatality per H band",54_sih_severity_depth.py: is case mix harder where H is high?
person_years,IBGE via DATASUS,"POPSVS POPSBR{YY} (COD_MUN 7-digit, SEXO, age 000-080)","municipal population by sex and single year of age, 2007-2025; age 080 is 80-and-over","summed over sex and age to municipal totals, then over municipalities to health region and year. 6-digit codes converted via the check-digit codec, not string concatenation.","Gate: the 2022 total must land within 5% of the Censo 2022 count of 203,080,756; it is 3.9% higher because the estimates incorporate post-enumeration undercount. A failing gate aborts the build.",one person-year per resident per calendar year; summed before any rate is formed,incidence and mortality rate denominators
health_region_code / health_region_name,Ministry of Health (CIB/CIR resolutions) via OpenDataSUS,municipality -> regiao de saude crosswalk,"official dated extract; every one of the 5,570 municipalities in the 2022 lattice must map, or the build raises","brepi/geo/health_regions.py: normalise, verify uniqueness of code7, verify full coverage against the lattice","Never derived from municipality names, centroids or a stale lookup. SINAN's own ID_REGIONA / ID_RG_RESI are deliberately NOT used: that division is revised without a public changelog (ADR-001).",the study's spatial unit; 432 regions carry at least one confirmed case,every regional analysis
uf_abbr / region (macro-region),IBGE via DATASUS,derived from the municipality code,"27 UF abbreviations; 5 macro-regions (Norte, Nordeste, Sudeste, Sul, Centro-Oeste)","macro-region taken from the UF table rather than from the municipality lattice, so a municipality's region and its UF's region are the same string by construction; taking each from its own source once produced ten macro-regions instead of five.",a municipality code absent from the lattice yields a null region and is excluded with a count,stratification key,regional descriptive tables; completeness by macro-region
deprivation_share,IBGE Censo 2022 via SIDRA API,"table 10296, variable 13604, classification 386 categories 9681 / 9680","population at or below 1/4 minimum wage per capita over population with an income class, 2022",SIDRA extract; the classification of interest is requested LAST and its category id taken as the final element of category_ids,"municipalities with a zero income-class denominator yield null, not zero","summed numerators and denominators within H quintile, then the ratio",53_socioeconomic_confounders.py: is the gradient deprivation in disguise?
median_pc_income,IBGE Censo 2022 via SIDRA API,"table 10295, variable 13534","median per-capita household income, 2022, R$","SIDRA extract, municipality level",a suppressed or absent cell is null; the municipality count behind each band is reported,"population-weighted mean of municipal medians within band (a weighted mean of medians, and labelled as such)",53_socioeconomic_confounders.py
crowding_share,IBGE Censo 2022 via SIDRA API,"table 9933, variable 381, classification 1975 categories 73090 / 73086","households with more than three residents per bedroom over all households, 2022",SIDRA extract,zero household denominator yields null,"summed numerators and denominators within band, then the ratio",53_socioeconomic_confounders.py
Census 2022 covariate time base,IBGE Censo 2022 via SIDRA API,(all three above),"single cross-section, 2022",none,STATED SIMPLIFICATION: a 2022 cross-section is compared against a 2007-2025 outcome window. These are near-time-invariant municipal characteristics and the comparison is cross-sectional; it is not a time-varying adjustment and must not be read as one.,n/a,53_socioeconomic_confounders.py
H (exposure),derived (analysis panel),ATE_HOSP,"[0,1]",H = hospitalised / hosp_known within the aggregation unit,"Denominator is cases with a VALID ate_hosp, not all cases. INVERSE indicator: higher H = narrower ascertainment (only severe illness found); lower H = broader. B = 1 - H is the breadth-oriented scale. The word 'profundidade' is not used: an earlier draft called H 'profundidade de deteccao' and then described a high value as *menor* profundidade, which is self-contradictory.","counts summed first, ratio formed after; never a mean of sub-unit H values",the exposure of the whole study
cfr (case fatality),derived (analysis panel),EVOLUCAO,"[0,1]",deaths / outcome_known,denominator is cases with a valid evolucao; obito_por_outras_causas is in the denominator but not the numerator,counts summed first; exact Clopper-Pearson interval (brepi.analysis.rates.binom_ci),the outcome of the whole study
incidence_per_100k,derived (analysis panel),CLASSI_FIN x POPSVS,"rate per 100,000 person-years",1e5 * cases / person_years,"a region-year with no population row yields null, never a zero denominator","counts and person-years summed first; exact Poisson (Garwood) interval via poisson_ci(events, person_time, scale=1e5)",burden description; the incidence-lethality inversion
"outcome_completeness, hosp_completeness, severity_completeness, criterion_completeness",derived (analysis panel),the four state columns,"[0,1]",<field>_known / cases within the unit,carried in the panel per cell so that every proportion's own completeness is auditable without returning to the line level,counts summed first,this script; the missingness threat ledger
"hk_hosp, hk_nonhosp, d_hosp, d_nonhosp",derived (analysis panel),EVOLUCAO x ATE_HOSP,counts,"cases with BOTH evolucao_state and ate_hosp_state valid, split by ate_hosp value and death",a case missing either field enters none of the four; the joint denominator is smaller than either marginal,cfr_hosp = d_hosp / hk_hosp; cfr_nonhosp = d_nonhosp / hk_nonhosp,the shared-denominator test: is the gradient a denominator effect?
H_quintile (exposure band),derived (analysis panel),H,1-5; Q1 = lowest H = broadest ascertainment,"health regions sorted by H ascending, cumulative case share, ceil(share*5) clipped to [1,5]","Equal case mass, not equal region count. Health regions with fewer than 30 confirmed cases are excluded from banded analyses (they cannot support a case-fatality estimate) and the excluded mass is reported.",counts summed within band before any ratio,every stratified table in the study
